# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Mon Feb 17 16:42:31 UTC 2025
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0305 0.34439 7.00000 7.1691746712 2.6214991391    7.156  3.323  4.3030  4.134    1 -3.537 -1.693 -1.810 -1.471
0.0305 0.34439 7.00000 7.3146152496 2.6218197001    7.302  3.356  4.3077  4.128    1 -3.620 -1.749 -1.867 -1.524
0.0305 0.34439 7.00000 7.9269456863 2.6230222534    7.918  3.491  4.3265  4.104    1 -3.957 -1.980 -2.103 -1.746
0.0305 0.34439 7.00000 8.1450071335 2.6234006270    8.137  3.537  4.3327  4.094    1 -4.073 -2.060 -2.185 -1.823
0.0305 0.34439 7.00000 8.3548860550 2.6237434342    8.346  3.580  4.3384  4.085    1 -4.179 -2.135 -2.261 -1.895
0.0305 0.34439 7.00000 8.9266319275 2.6245839872    8.916  3.692  4.3528  4.060    1 -4.459 -2.334 -2.465 -2.088
0.0305 0.34439 7.00000 9.1208391190 2.6248420766    9.110  3.729  4.3575  4.051    1 -4.552 -2.402 -2.533 -2.153
0.0305 0.34439 7.00000 9.2037315369 2.6249484289    9.193  3.744  4.3593  4.047    1 -4.590 -2.429 -2.561 -2.180
0.0305 0.34439 7.00000 9.6746606827 2.6255130756    9.667  3.829  4.3694  4.024    1 -4.802 -2.587 -2.721 -2.333
0.0305 0.34439 7.00000 10.0966711044 2.6259679481   10.091  3.904  4.3776  4.001    1 -4.989 -2.729 -2.865 -2.472
0.0305 0.34439 7.00000 10.1141414642 2.6259858401   10.109  3.907  4.3779  4.000    1 -4.997 -2.735 -2.871 -2.477
0.0305 0.34439 7.00000 10.5181741714 2.6263806296   10.514  3.975  4.3849  3.977    1 -5.167 -2.869 -3.006 -2.608
0.0305 0.34439 7.00000 10.8940753937 2.6267178537   10.892  4.037  4.3908  3.953    1 -5.322 -2.993 -3.132 -2.730
0.0305 0.34439 7.00000 11.0725040436 2.6268687387   11.071  4.066  4.3933  3.942    1 -5.394 -3.053 -3.192 -2.788
0.0305 0.34439 7.00000 11.1778860092 2.6269552556   11.176  4.082  4.3948  3.935    1 -5.436 -3.087 -3.226 -2.821
0.0305 0.34439 7.00000 11.5305004120 2.6272315696   11.528  4.137  4.3992  3.911    1 -5.572 -3.201 -3.342 -2.934
0.0305 0.34439 7.00000 11.8620567322 2.6274742237   11.859  4.188  4.4028  3.887    1 -5.700 -3.311 -3.453 -3.042
0.0305 0.34439 7.00000 12.0483350754 2.6276038357   12.044  4.217  4.4044  3.872    1 -5.772 -3.375 -3.517 -3.106
0.0305 0.34439 7.00000 12.3020420074 2.6277731243   12.290  4.253  4.4063  3.852    1 -5.863 -3.458 -3.600 -3.187
0.0305 0.34439 7.00000 12.7795524597 2.6280708826   12.750  4.321  4.4087  3.810    1 -6.032 -3.617 -3.760 -3.345
0.0305 0.34439 7.00000 13.2026538849 2.6283141221   13.155  4.380  4.4098  3.769    1 -6.179 -3.761 -3.905 -3.489
0.0305 0.34439 7.00000 13.5810489655 2.6285169612   13.515  4.432  4.4095  3.727    1 -6.310 -3.897 -4.041 -3.626
